Race,Execution Method,State,Sex,Year,Month,Day,Crimes Committed
2,5,45,1,1998,12,18,1
1,5,48,1,1999,1,5,1
3,5,40,1,1999,1,7,1
2,5,45,1,1999,1,8,1
2,5,22,1,1999,1,8,1
2,5,29,1,1999,1,13,1
1,5,4,1,1999,1,13,1
1,5,48,1,1999,1,13,1
2,5,51,1,1999,1,20,1
1,5,45,1,1999,1,22,1
5,5,48,1,1999,1,26,1
3,5,4,1,1999,2,3,1
1,5,40,1,1999,2,4,1
1,5,51,1,1999,2,4,1
4,5,6,1,1999,2,9,1
5,5,48,1,1999,2,10,1
1,5,48,1,1999,2,11,1
5,5,48,1,1999,2,16,1
1,5,5,1,1999,2,16,1
1,5,39,1,1999,2,19,1
1,5,29,1,1999,2,24,1
2,5,48,1,1999,2,24,1
1,5,4,1,1999,2,24,1
1,3,4,1,1999,3,3,1
1,5,51,1,1999,3,9,1
1,5,29,1,1999,3,10,1
1,5,17,1,1999,3,17,1
1,5,51,1,1999,3,25,1
2,5,48,1,1999,3,26,1
1,5,37,1,1999,3,26,1
1,5,48,1,1999,3,30,1
4,5,32,1,1999,4,5,1
1,5,5,1,1999,4,12,1
2,5,51,1,1999,4,13,1
2,5,29,1,1999,4,14,1
1,5,51,1,1999,4,20,1
1,5,10,1,1999,4,23,1
2,5,29,1,1999,4,28,1
1,5,48,1,1999,4,28,1
1,5,51,1,1999,4,28,1
1,5,51,1,1999,4,29,1
2,5,6,1,1999,5,4,1
5,5,48,1,1999,5,4,1
1,5,4,1,1999,5,5,1
2,5,48,1,1999,5,5,1
1,5,21,1,1999,5,25,1
2,5,29,1,1999,5,26,1
1,5,48,1,1999,6,1,1
1,5,40,1,1999,6,3,1
2,5,29,1,1999,6,16,1
1,5,4,1,1999,6,16,1
1,5,48,1,1999,6,17,1
2,2,1,1,1999,6,18,1
1,5,29,1,1999,6,30,1
1,5,48,1,1999,7,1,1
1,5,42,1,1999,7,6,1
2,5,48,1,1999,7,7,1
1,5,40,1,1999,7,8,1
1,2,12,1,1999,7,8,1
1,5,51,1,1999,7,21,1
1,5,48,1,1999,8,4,1
2,5,48,1,1999,8,5,1
2,2,1,1,1999,8,6,1
2,5,48,1,1999,8,10,1
1,5,48,1,1999,8,11,1
2,5,51,1,1999,8,17,1
5,5,48,1,1999,8,18,1
1,5,29,1,1999,9,1,1
2,5,48,1,1999,9,1,1
1,5,5,1,1999,9,8,1
1,5,5,1,1999,9,8,1
2,5,48,1,1999,9,10,1
2,5,48,1,1999,9,14,1
1,5,51,1,1999,9,16,1
1,5,48,1,1999,9,21,1
2,5,10,1,1999,9,24,1
2,5,37,1,1999,9,24,1
1,5,48,1,1999,10,12,1
1,5,48,1,1999,10,14,1
1,5,49,1,1999,10,15,1
2,5,51,1,1999,10,19,1
1,5,37,1,1999,10,21,1
5,5,4,1,1999,10,27,1
3,5,48,1,1999,10,28,1
2,5,51,1,1999,11,9,1
2,5,45,1,1999,11,12,1
2,5,48,1,1999,11,16,1
1,5,48,1,1999,11,17,1
5,5,48,1,1999,11,18,1
2,5,37,1,1999,11,19,1
2,5,40,1,1999,12,2,1
1,5,45,1,1999,12,3,1
1,5,48,1,1999,12,8,1
2,5,40,1,1999,12,9,1
1,5,18,1,1999,12,9,1
1,5,48,1,1999,12,9,1
2,5,51,1,1999,12,9,1
1,5,48,1,1999,12,14,1
2,5,48,1,1999,12,15,1
2,5,40,1,2000,1,6,1
1,2,1,1,2000,1,7,1
1,5,51,1,2000,1,10,1
